yt https://youtube.com
mensa https://stwno.de/de/gastronomie/speiseplan/oth-regensburg/seybothstrasse-mittags
gl https://gitlab.othr.de/IM/lfd
wiki wiki.lfdr.de
sp https://sp.hs-regensburg.de/QuO/QuD-Portal/SitePages/Homepage.aspx
ss https://syncandshare.lrz.de/login
lfd https://lfdr.de
qlm https://qlm.bull.com/qlm-doc/
gpt https://chat.openai.com
benno https://i.bbenno.com/
ti https://elearning.oth-regensburg.de/course/view.php?id=5722
over https://overleaf.com
deeplwrite https://www.deepl.com/write
deepltranslate https://www.deepl.com/translate
wolfgang https://oth-regensburg.zoom.us/j/9125785205?pwd=SmJyQms2ZS9pSTU5YXo0eDZWQ2xJUT09
bayzeit https://bayzeit-web.ur.de/BSCWS/?bb.server=bayzeit.uni-regensburg.de&bb.port=4800#baps
gh github.com
git github.com
llm llm.lfdr.de
monitor im-lfd-qlm.hs-regensburg.de/monitor
reise https://www.mitarbeiterservice.bayern.de/
whatsapp https://web.whatsapp.com
board https://board.lfdr.de
cloud https://cloud.lfdr.de
desmos https://desmos.com/calculator/
